timestamps population node_ids
2743.074 v1 218
2756.976 v1 218
2772.725 v1 218
2781.784 v1 218
2790.934 v1 218
2865.424 v1 218
2902.435 v1 218
2938.031 v1 218
2952.476 v1 218
2963.178 v1 218
2972.121 v1 218
2986.85 v1 218
2997.099 v1 218
59.543 v1 219
98.267 v1 219
2451.893 v1 218
2869.99 v1 217
2440.472 v1 218
2351.949 v1 218
1788.691 v1 218
1838.988 v1 218
1855.417 v1 218
1867.482 v1 218
1885.837 v1 218
1910.849 v1 218
1936.146 v1 218
1953.315 v1 218
1967.97 v1 218
1986.476 v1 218
1998.755 v1 218
2009.483 v1 218
2054.12 v1 218
2079.74 v1 218
2107.221 v1 218
2119.49 v1 218
2135.26 v1 218
2153.361 v1 218
2180.372 v1 218
2197.774 v1 218
2212.696 v1 218
2222.33 v1 218
2232.529 v1 218
2247.36 v1 218
2264.612 v1 218
2278.927 v1 218
2320.837 v1 218
2409.249 v1 218
2853.884 v1 217
2798.241 v1 217
2783.918 v1 217
539.963 v1 217
552.387 v1 217
573.366 v1 217
588.859 v1 217
602.088 v1 217
627.593 v1 217
640.223 v1 217
669.733 v1 217
686.132 v1 217
708.265 v1 217
718.243 v1 217
744.096 v1 217
759.045 v1 217
775.257 v1 217
812.438 v1 217
828.005 v1 217
838.371 v1 217
863.437 v1 217
901.691 v1 217
922.413 v1 217
948.201 v1 217
959.618 v1 217
971.438 v1 217
990.978 v1 217
1504.697 v1 217
1512.497 v1 217
1523.746 v1 217
528.695 v1 217
1545.362 v1 217
516.278 v1 217
475.537 v1 217
2525.203 v1 216
2563.942 v1 216
2581.697 v1 216
2639.612 v1 216
2685.38 v1 216
2713.175 v1 216
2726.293 v1 216
2749.394 v1 216
2772.215 v1 216
2789.405 v1 216
2861.915 v1 216
2899.618 v1 216
2941.932 v1 216
2960.11 v1 216
2970.783 v1 216
2994.344 v1 216
66.733 v1 217
81.26 v1 217
108.401 v1 217
135.997 v1 217
153.972 v1 217
231.334 v1 217
250.693 v1 217
271.407 v1 217
329.538 v1 217
351.692 v1 217
378.458 v1 217
500.9 v1 217
143.906 v1 219
1565.217 v1 217
1595.796 v1 217
2215.643 v1 217
2224.893 v1 217
2234.761 v1 217
2258.721 v1 217
2275.861 v1 217
2317.13 v1 217
2332.898 v1 217
2362.064 v1 217
2402.428 v1 217
2427.854 v1 217
2440.417 v1 217
2450.952 v1 217
2461.154 v1 217
2475.849 v1 217
2545.156 v1 217
2560.913 v1 217
2578.575 v1 217
2603.83 v1 217
2621.893 v1 217
2641.529 v1 217
2655.763 v1 217
2681.345 v1 217
2701.812 v1 217
2722.228 v1 217
2736.196 v1 217
2754.594 v1 217
2775.285 v1 217
2176.848 v1 217
1579.231 v1 217
2148.371 v1 217
2112.299 v1 217
1608.024 v1 217
1618.991 v1 217
1641.557 v1 217
1662.725 v1 217
1679.005 v1 217
1693.295 v1 217
1706.696 v1 217
1722.669 v1 217
1732.483 v1 217
1751.814 v1 217
1763.349 v1 217
1779.674 v1 217
1805.034 v1 217
1843.368 v1 217
1857.932 v1 217
1869.951 v1 217
1895.722 v1 217
1914.915 v1 217
1937.755 v1 217
1949.613 v1 217
1974.36 v1 217
1985.682 v1 217
1995.623 v1 217
2007.865 v1 217
2047.479 v1 217
2076.949 v1 217
2090.537 v1 217
2132.729 v1 217
1614.035 v1 226
223.645 v1 219
485.869 v1 219
966.514 v1 221
981.768 v1 221
1505.596 v1 221
1514.432 v1 221
1528.068 v1 221
1545.602 v1 221
1565.459 v1 221
1578.372 v1 221
1595.859 v1 221
1610.61 v1 221
1626.775 v1 221
1668.293 v1 221
943.958 v1 221
1684.735 v1 221
1711.101 v1 221
1726.535 v1 221
1740.211 v1 221
1759.059 v1 221
1772.494 v1 221
1800.989 v1 221
1853.735 v1 221
1870.893 v1 221
1923.762 v1 221
1949.925 v1 221
1968.349 v1 221
1983.053 v1 221
1699.574 v1 221
862.64 v1 221
835.07 v1 221
824.005 v1 221
2858.95 v1 220
2911.581 v1 220
2945.191 v1 220
2960.137 v1 220
2973.768 v1 220
71.605 v1 221
101.027 v1 221
142.789 v1 221
235.291 v1 221
265.373 v1 221
325.893 v1 221
360.365 v1 221
506.431 v1 221
519.519 v1 221
534.907 v1 221
546.603 v1 221
571.066 v1 221
595.014 v1 221
621.46 v1 221
635.272 v1 221
658.57 v1 221
680.44 v1 221
707.727 v1 221
722.954 v1 221
747.6 v1 221
769.002 v1 221
787.263 v1 221
1995.834 v1 221
2009.017 v1 221
2053.455 v1 221
2096.737 v1 221
2984.095 v1 221
2998.711 v1 221
67.137 v1 222
83.122 v1 222
104.199 v1 222
137.914 v1 222
169.857 v1 222
231.452 v1 222
248.935 v1 222
267.939 v1 222
291.963 v1 222
328.797 v1 222
355.021 v1 222
484.963 v1 222
514.979 v1 222
527.093 v1 222
536.692 v1 222
545.009 v1 222
555.395 v1 222
570.103 v1 222
584.848 v1 222
595.481 v1 222
604.901 v1 222
619.637 v1 222
629.058 v1 222
637.408 v1 222
649.737 v1 222
2967.389 v1 221
2775.715 v1 220
2955.531 v1 221
2910.644 v1 221
2121.457 v1 221
2147.336 v1 221
2181.012 v1 221
2197.93 v1 221
2217.866 v1 221
2227.209 v1 221
2236.927 v1 221
2280.384 v1 221
2330.593 v1 221
2406.86 v1 221
2440.978 v1 221
2453.907 v1 221
2465.111 v1 221
2477.825 v1 221
2533.74 v1 221
2567.593 v1 221
2589.85 v1 221
2613.664 v1 221
2640.516 v1 221
2689.644 v1 221
2716.444 v1 221
2729.318 v1 221
2742.713 v1 221
2758.995 v1 221
2772.27 v1 221
2780.468 v1 221
2787.966 v1 221
2940.539 v1 221
2730.878 v1 220
2717.196 v1 220
2687.854 v1 220
1976.837 v1 219
1991.749 v1 219
2009.212 v1 219
2061.918 v1 219
2098.819 v1 219
2142.644 v1 219
2173.947 v1 219
2196.022 v1 219
2219.198 v1 219
2229.607 v1 219
2261.936 v1 219
2322.218 v1 219
2350.304 v1 219
2394.213 v1 219
2426.162 v1 219
2441.599 v1 219
2453.56 v1 219
2463.301 v1 219
2580.357 v1 219
2631.356 v1 219
2647.929 v1 219
2678.02 v1 219
2720.201 v1 219
2742.932 v1 219
2768.198 v1 219
2782.561 v1 219
2843.534 v1 219
1943.477 v1 219
2869.049 v1 219
